,DisasterId,DisasterSubgroup,DisasterType,Event Name,Origin
609,5544,Meteorological,Storm,Roxane,
610,5552,Geophysical,Volcanic activity,Chance's Peak,
611,5565,Hydrological,Flood,,Rain and snowmelt
612,5569,Geophysical,Volcanic activity,Mount Ruapehu,
613,5577,Geophysical,Volcanic activity,Mt Pinatubo,
614,5579,Meteorological,Storm,Kent (Gening),
615,5580,Meteorological,Storm,Angela (Rosing),
616,5587,Meteorological,Storm,03,
617,5589,Meteorological,Storm,Bonita,
618,5590,Meteorological,Storm,Greg,
619,5596,Meteorological,Storm,Cesar and Douglas,
620,5599,Meteorological,Storm,Lilli,
621,5604,Climatological,Drought,,Lack rainfall
622,5628,Meteorological,Storm,Marcos,
623,5658,Geophysical,Volcanic activity,Grimsvotn,
624,5661,Meteorological,Storm,Marco,
625,5677,Meteorological,Storm,"Alma, Boris",
626,5679,Meteorological,Storm,Elida,
627,5680,Meteorological,Storm,Fausto,
628,5688,Geophysical,Volcanic activity,Soufrière,
629,5690,Meteorological,Storm,Daniella,
630,5705,Meteorological,Storm,Fergus,
631,5716,Meteorological,Storm,Bining,
632,5717,Meteorological,Storm,,El Nino phenomenom
633,5722,Hydrological,Flood,,El Nino
634,5731,Meteorological,Storm,Martin,
635,5762,Meteorological,Storm,Paka,
636,5799,Meteorological,Storm,Oliwa,
637,5810,Meteorological,Storm,Linda,
638,5818,Meteorological,Storm,Gretelle,
639,5819,Meteorological,Storm,Josie,
640,5825,Meteorological,Storm,Olaf,
641,5826,Meteorological,Storm,Pauline,
642,5827,Meteorological,Storm,Rick,
643,5837,Geophysical,Volcanic activity,Soufriere,
644,5852,Meteorological,Storm,Drena,
645,5863,Meteorological,Storm,Ivan,
646,5867,Hydrological,Landslide,,Heavy rain
647,5872,Meteorological,Storm,Yanni,
648,5873,Geophysical,Volcanic activity,Arenal,
649,5883,Meteorological,Storm,"Cilly, Désirée et Fanny",
650,5905,Meteorological,Storm,03A,
651,5921,Meteorological,Storm,Rex,
652,5922,Meteorological,Storm,Vicky (7) and Waldo (8),
653,5923,Meteorological,Storm,Zeb,
654,5924,Meteorological,Storm,Stella,
655,5937,Geophysical,Volcanic activity,"Mount Colima, Mount Popocatepel",
656,5940,Meteorological,Storm,Isis,
657,5941,Meteorological,Storm,Madeline & Lester,
658,5968,Meteorological,Storm,Vicky and Todd (Emang and Gading),
659,5969,Meteorological,Storm,Zeb (Iliang),
660,5971,Meteorological,Storm,Faith (Norming),
661,5976,Meteorological,Storm,Doug,
662,5981,Meteorological,Storm,Harry,
663,6024,Meteorological,Storm,Nina (Helming),
664,6031,Meteorological,Storm,Zack,
665,6037,Meteorological,Storm,Dan (Trining),
666,6059,Hydrological,Flood,,Torrential rain
667,6098,Meteorological,Storm,Gloria and Frankie,
668,6106,Hydrological,Flood,,Torrential rains
669,6141,Meteorological,Storm,'Blizzard 1996',
670,6147,Hydrological,Flood,,"Heavy rains, Snowmlet"
671,6150,Meteorological,Storm,Joséphine,
672,6155,Meteorological,Storm,Frankie ,
673,6169,Meteorological,Storm,Fritz,
674,6172,Hydrological,Flood,,Snow melt
675,6182,Climatological,Drought,,Lack of rainfall
676,6183,Meteorological,Storm,Justin,
677,6201,Meteorological,Storm,Andres,
678,6215,Geophysical,Volcanic activity,Adatara,
679,6248,Meteorological,Storm,Danny,
680,6281,Meteorological,Storm,Charley,
681,6284,Meteorological,Storm,"Chip, Elvis , Dawn",
682,6297,Hydrological,Flood,,Ici jam
683,6319,Meteorological,Storm,Ron,
684,6353,Meteorological,Storm,"Yali, Zuman",
685,6367,Meteorological,Storm,"Cilly, Desiree, Fanny",
686,6385,Meteorological,Storm,Rona,
687,6387,Meteorological,Storm,York,
688,6395,Meteorological,Storm,Lenny,
689,6397,Meteorological,Storm,Jose,
690,6399,Meteorological,Storm,Vance,
691,6401,Meteorological,Storm,John,
692,6410,Meteorological,Storm,Lothar,
693,6418,Meteorological,Storm,05B,
694,6424,Meteorological,Storm,Floyd,
695,6454,Meteorological,Storm,Dan,
696,6455,Meteorological,Storm,Sam,
697,6469,Climatological,Drought,,Lack of rain
698,6470,Meteorological,Storm,Steve,
699,6472,Meteorological,Storm,Maria,
700,6492,Meteorological,Storm,Tessi,
701,6555,Meteorological,Storm,Bilis,
702,6556,Meteorological,Storm,Prapiroon,
703,6557,Meteorological,Storm,Wukong,
704,6576,Meteorological,Storm,Xylia,
705,6590,Climatological,Drought,,"Lack of rain, El Nino"
706,6598,Hydrological,Flood,,"Dam/levy, break or release"
707,6625,Meteorological,Storm,Bart,
708,6631,Hydrological,Flood,,Rain storms
709,6635,Meteorological,Storm,2-A,
710,6647,Geophysical,Volcanic activity,Mont Cameroon,
711,6659,Meteorological,Storm,"Hurricane ""Irene""",
712,6664,Meteorological,Storm,Anatol,
713,6671,Geophysical,Volcanic activity,"Guagua Pinchicha, Tungurahua",
714,6682,Meteorological,Storm,Dani,
